"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178,0.02092,0.0288,0.01448,0.02078,0.01957,0,0,0,0,0,0,0,0,0,0.00035,0.00611,0.02132,0.01367,0.02039,0.02224,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0.00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01054,0.00976,0.16336,0.05985,0.1857,0.02051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1872|o__OFGB1872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB20164|o__OFGB20164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355,0.00926,0,0.03269,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB24517|o__OFGB24517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469,0.00279,0.00186,0.00059,5e-05,0.00143,0,0,0,0,0,0,0,0,0,0,0.00117,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01185,0.00786,0,0.00481,0.00988,0.00118,0,0,0,0,0,0,0.0498,0.04681,0.02292,0.00041,0.00848,0.00479,0.00619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB25373|o__OFGB25373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04472,0.39579,0.03599,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2882|o__OFGB2882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01721,0.01701,0.03077,0.01884,0.02006,0.00941,0.06955,0.10931,0,0.0384,0.00895,0.06594,0.03274,0.01715,0.06442,0,0.00305,0.01049,0.01248,0.02208,0.01743,0.00943,0,0,0,0,0,0,0,0,0,0,0.05953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0.01932,0,0.00747,0.01566,0,0.01,0.00757,0,0,0,0,0,0,0,0.00761,0.00984,0.00997,0.00138,0.00143,0.00281,0.01273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2897|o__OFGB2897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0.00038,0,0.0023,0.00974,0.0093,0,0,0,0,0,0,0.03597,0.20606,0,0.12876,0.24488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB2916|o__OFGB2916",0,0,0,0,0,0,0.02143,0,0,0,0,0,0,0,0,0,0,0.09369,0.09221,0.10009,0.04864,0.02065,0.01655,0.00436,0.00796,0.00768,0.01146,0.00263,0.01334,0,0.01363,0,0.02601,0.00243,0,0,0.03146,0.03334,0.0199,0.05343,0.02371,0,0,0,0,0,0,0,0,0.06837,0,0.0405,0.0049,0.00538,0.04882,0,0,0,0,0,0,0.00136,0.00141,0,0,0.00039,0.00022,0,0,0,0,0,0,0,0,0,0.02937,0.08714,0.01946,0.00653,0.02515,0.00821,0.03876,0.01449,0.01736,0.02597,0.08418,0.04491,0.09209,0.05045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06587,0.04789,0.00843,0,0.00372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419,0.04805,0.00124,0.02756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142,0.01298,0.01092,0.00024,0.00479,0.00115,0.01776,0.00447,0.01601,0.01528,0.01628,0.00204,0.06132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739,0.00609,0,0,0,0,0,0.01296,0.00819,0.00579,0,0,0,0,0,0,0.00014,0.00288,0.00024,0.01,0.00531,0
"k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14984,0.26017,0.19705,0.10651,0.07627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02039,0.00725,0.01051,0.05226,0.00187,0.01409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035",0.97307,2.59711,1.70229,0.00347,0.02183,0.61759,0,0,0,0,0,0,0,0,0,0,0,0.4785,0.4941,0.45294,0.49289,0.56937,0.58596,0.08049,0.19432,0.12808,0.05838,0.15738,0,0.04944,0.34965,0,0.06432,0.04502,0,0,0,0.00334,0,0.01364,0,0,0,0,0,0,0,0,1.70236,0.39197,0,1.50842,1.3269,1.91384,0.87407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77801,0.91823,0.23089,0,0.02572,0,0,0,0,0,0,0.47877,0.43499,0.10186,0.16994,0.11665,0.18907,0.38108,0.23335,0.89039,1.45714,0.87654,1.42502,1.84347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44149,2.44895,0.07583,0,0.29417,0,0,0.01192,0.09995,0.07882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1879,0.00148,0.02699,0.07611,0.00947,0.00758,0.07038,0,0,0,0,0,0,0,0.07762,0.14371,0.25346,0.29284,0.21853,0.25107,0.49161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05713,0.10185,0,0,0,0.21985,0.38683,0.40869,0.28647,0.10081,0.16371
"k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0.00011,0,0,0,0,0,0,0.02175,0.00982,0.03866,0.01003,0.01023,0,0,0,0,0,0,0,0,0,0,0,0.00194,0,0,0,0,0,0,0,0,0.05175,0.12651,0.02483,0,0.05237,0.03228,0,0,0,0.22525,0,0,0,0,0,0.00442,0.00204,0.00731,0.0404,0.00734,0.00916,0,0.00123,0.00538,0.01226,0.00554,0.02267,0.00081,0.00637,0.00547,0.00642,0.00244,0.00205,0,0,0,0,0,0.01254,0.01054,0.0034,0.00207,0.00844,0.00091,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01292,0.00242,0.00349,0.01077,0.05422,0,0,0,0,0,0,0,0,0.0041,0,0.00182,0.03086,0.0222,0.02471,0.01041,0.02184,0.01065,0,0,0,0,0.00674,0.00873,0.01195,0.00614,0.00768,0.01131,0.00646,0.00319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01776,0.04577,0.01031,0.00616,0,0.01207,0,0,0,0,0,0,0,0,0,0,0,0,0.07411,0,0,0,0,0,0,0,0.00721,0.00931,0.00542,0.00212,0.00204,0,0,0,0.02823,0,0.01086,0.0143,0.01842,0.01188,0.01821,0.03991
"k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.00226,0,0,0.02652,0,0,0.15539,0.20621,0.14848,0.11562,0.17142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588,0.02322,0.04831,0.0252,0.07685,0.01249,0.01815,0.10633,0,0,0,0,0,0,0,0,0,0.02465,0.04506,0.07264,0.09746,0.01596,0.0835,0.03201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03666,0.09046,0.01411,0.06116,0.20964,0.00291,0.0325,0.03215,0.16276,0,0.00746,0,0,0,0,0,0,0,0,0,0,0,0,0.14334,0.12087,0.11378,0.03584,0.07528,0.08019,0.01427,0,0,0,0,0,0.11569,0.11652,0.12463,0.14236,0.16732,0.14493,0.21176,0.14124,0.04934,0.15163,0.14731,0.10178,0.11888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14564,0.17872,0.12724,0.14414,0.0276,0,0,0,0,0,0.04029,0.07522,0.04743,0.04252,0.06361,0.04342
"k__Bacteria|p__Firmicutes|c__CFGB3053|o__OFGB3053",0,0.00557,0.09986,0.0734,0.01728,0.00315,0.00451,0,0,0,0,0.063,0.0626,0.05975,0.07078,0.03089,0,0.02195,0.00265,0.00594,0.00163,0,0,0,0.00181,0,0,0.00353,0.01762,0.03935,0.01259,0,0.06844,0.02249,0,0,0.01402,0.03062,0.01577,0.01733,0.01185,0,0,0,0,0,0,0,0,0.03732,0,0.06572,0.06819,0.10763,0.09448,0.00473,0.03643,0,0,0.03736,0.02474,0.06522,0.03457,0.05635,0,0.06801,0.00679,0.07872,0.01896,0.05096,0.05941,0,0,0,0,0,0.02624,0.08984,0.02306,0.03816,0.0347,0.04914,0,0,0.00269,0.00235,0.00228,0.01972,0.0024,0.00348,0.02051,0.01956,0.00706,0.04452,0.03023,0.00205,0.03068,0.0112,0.00319,0,0,0,0,0,0,0,0.02584,0.03297,0.04494,0.00556,0.02632,0,0.02023,0.03034,0.02594,0,0.04841,0,0,0,0,0,0,0,0,0,0,0.09314,0.09627,0.04771,0.0581,0.12359,0.10952,0.17312,0,0.06561,0.08656,0.03574,0.04481,0.10208,0.1288,0.00133,0,0.00887,0,0.0778,0.00933,0.02623,0.00769,0.07158,0,0.03336,0.03545,0.02117,0.00806,0.0344,0.0461,0.03883,0.0028,0.01723,0.01587,0.02238,0.04637,0,0.00846,0.01856,0.04348,0.02147,0.0298,0.02328,0.02486,0,0,0,0,0,0.00467,0.00563,0.00167,0,0.0072,0.01115,0.00442,0.04076,0.03568,0.03514,0.02145,0.08302,0.02974,0,0.1132,0.17444,0.12108,0.021,0.01192,0,0,0,0,0,0.19105,0.10499,0.00204,0.06688,0,0.0055,0,0,0.01192,0.00259,0.0096,0.00948,0.01177,0.00601,0,0,0.00059,0.17614,0,0.02717,0.0159,0.01295,0.01756,0.01995,0.05595
"k__Bacteria|p__Firmicutes|c__CFGB3546|o__OFGB3546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389,0.0075,0.01064,0.00727,0.00576,0.00178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB3608|o__OFGB3608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00388,0.03707,0.02684,0.04148,0.02804,0.02584,0.00359,0,0,0,0.00849,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0.00333,0.01633,0.01757,0.02272,0.00967,0.00674,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585,0.02504,0.01104,0.00016,0.00351,0.00149,0,0,0,0.00065,0.00232,0,0.00041,0,0.0032,0,0,0.0063,0.00156,0.00255,0,0,0.00065,0,0,0,0,0.00218,0,0,0.00036,0,0,0,0,0,0,0,0,0,0,0.00399,0.0024,0.003,0.00311,0.00429,0.003,0.00443,0.02847,0.02522,0.01668,0.02137,0.00511,0.02139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0.0027,0,0.00103,0.00044,0.00132,0,0,0,0,0,0,0,0,0,0,0.0021,0.00402,0.0023,0.0054,0.00409,0.00845
"k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183",0.00414,0.00202,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0.00041,0,0,0,0,0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0,0,0,0,0,0,0,0,0.0025,0.00077,0.00069,0.00386,0.02408,0.00429,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB40382|o__OFGB40382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0.00183,7e-05,0.00541,0.00494,0.01428,0.05412,0.02481,0.00701,0.00878,0.0245,0.00506,0,0,0,0,0.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03015,0.03578,0.07586,0.04829,0.02058,0.03305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0,0.00674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03377,0.03171,0.01781,0.02712,0,0,0.00342,0,0,0,0,0,0,0,0,0,0,0.01375,0.13959,0.24492,0.11056,0.00094,0.03883,0.24659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
