"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae",0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,0,0,0,0,0.00439,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae",0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0.26669,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0.00121,0,0.00114,0,0,0,0,0,0,0.00275,0.00301,0.00583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0.00355,0.00328,0,0.023,0.01342,0,0,0,0,0.00803,0,0,0,0,0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,0,0.00058,0,0,0,0,0,0,0,0,0,0.00121,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0,0,0,0,0,0,7e-05,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae",0,0,0,0,0,0.04856,7.54659,0.00495,9e-05,0.05423,1.09015,0,0,0,0,0,0,0.01163,0.00025,0.00208,0.00394,0.00491,0.0015,0,0.00162,0,0,0,0,0,0,0,0,0,0.01776,0.04132,0,0,0,0,0.00178,7.73609,0.05221,0.07206,0.03572,0.01979,0.04748,0.59292,0.01668,0.02214,0,0.01511,0,0.04149,0.0636,0,0,0,0,0.01057,0,0,0,0,0.00104,0,0,0.11102,0.09083,0.0631,0,0.00913,0.00465,0,0.00474,0.01024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01702,0.01587,0.01862,0.00367,0,0.00651,0.00683,0.0012,0.00832,0,0,0,0,0.00016,0,0.00018,0,0,0,0,0,0.76676,0.04276,2e-04,0.0027,0.00343,0,0.48553,0.62192,0.22352,0.32452,0.10598,0,0,0,0,0,0,0,0,0,0,0,0,1.81181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154,0.27862,0.02861,0.38371,0.24055,0.00291,0,0,0,0,0.07097,0.08067,0.1918,0,3.27044,0,0,0,0,0,0,0,0.03572,0.01693,0.05239,0,0,0,0,0.09329,0.03993,0.15083,0.06888,0.03353,0.00544,0.02764,0.00203,0.00179,0,0,0,0,0,0,0,0.02901,0,0,8e-05,0.00088,0.19856,0.01057,0,0.19984,0.41882,0.07825,0.12269,0,0.00138,0.00888,0.00582,0.00251,0.00139,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae",0,0,0.0628,0.0408,0.00334,0.04042,0.22568,0.65262,0.07678,0.10994,0,0,0.04023,0,0,0,0,0,0.0089,0,0,0.03126,0.16548,0.0522,0.02948,0,0,0.00331,0,0,0.00115,0,0,0.01368,30.82944,15.26317,0,0.00084,0.07458,0.00338,0.0097,0.04344,0,0.00949,0.00022,0,0,0.00877,0.00369,0.48295,0,0.17591,0.14607,0.05267,0.04438,1.03475,0.64348,40.99361,10.32115,25.01035,0.95687,0,0,0.00053,0.04307,0.00114,0.00273,0,0.00017,0,0.00718,0,0,0.06732,0.00178,0.04113,0,0.14066,0.10334,0.34163,0.26503,0.38922,0.22518,0.15343,0.05667,0.0699,0.061,0.01966,0.00102,0.11038,0,0,0,0,0.71213,0.0892,0.01967,0.00082,0.09764,0.04604,0.03391,0.19299,0,0.00027,0,0.00133,0.00212,0,0.00389,0.0195,0.53092,2.74287,4.43151,0.20091,0.07756,0.01417,0.01999,0,0,0.00734,0,0,0,0,0,0.00863,0,0,0.14306,0.02282,0.06946,0,0.00762,0.00944,0,0.02708,0.18269,0.05588,0.65936,0.05779,0.00449,0.00875,0.00343,0,0,0,0,0,0.0022,0.01082,0.05024,0.00285,0.04075,0.00131,0.01504,0,0,0,0,0.76132,3.11254,1.56785,5.62948,5.7622,0.17613,0.04991,0,0,0.00195,0,0.02127,0.11562,0.24064,0.59418,0.00348,0.00806,0.08825,0.12576,0.19194,0.08516,0.073,0.08382,0.09293,0.07801,0.06644,0.13359,0.12489,0.57764,0.07035,0.37472,4.93559,2.30933,1.08777,10.47881,3.13623,3.59364,0.41905,0,0.01076,0,0.02322,0,0,0.02546,0,0.04862,0.04051,0.2349,0.00404,0.02332,0.01747,0.01947,9.71202,5.18622,0.00924,0.00784,0.21526,0.0105,21.09748,0.01368,0,0,0.01258,0.30571,0.06807
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae",0,0,0,0,0,0,0,0.00731,0,0.00197,0.04008,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09753,0.10883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268,0,0.0051,0,0,0.00821,0,0.00729,0.15473,0.00964,0,0,0,0.00448,0,0.00665,0,0,0,0.00475,0,0,0,0,0,0,0.01729,0,0,0.01472,0,0,0,0.08521,0.05572,0,0.00837,0.1248,0.00064,0.00262,0.0056,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0.00177,0.00688,0,0.00082,0.00973,0.0013,0,0.00178,0.00045,0.03071,0,0,0.04413,0,0,0,0,0,0,0,0,0,0,0,0.00031,0.00383,0,0,0.00066,0,0,0,0,0,0,0,0.0016,0,0.01261,0.01153,0,0,0,0,0.01004,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0.00107,0,0,0.00189,0,0.41647,0.02447,0,0,0,0.04326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0,0.01548,0,0.15678,0,0,0,0,0.54953,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae",0.19075,0.23578,3.0986,1.07958,0.30814,6.30715,1.44707,2.59319,6.4968,3.85232,1.8183,0.09402,2.89437,0.37726,0.88869,3.42853,0.85568,0.2549,0.24498,0.20706,0.20361,2.83932,3.15917,0.10742,0.57483,0.10333,0.03537,0.32272,0.40751,0.04132,0.00462,0,0,0.44574,16.80381,22.11815,0.04502,0.25255,0.56101,0.12956,0.12289,1.7409,4.50598,5.6441,2.49804,7.32201,10.60846,16.6994,1.65785,2.76858,0,6.1743,2.57961,2.15525,3.20277,6.1563,9.93086,12.63487,26.96146,44.6137,14.40572,0.00572,0.74241,0.91869,0.91212,0.60631,0.02092,0.13466,0.05982,0.81628,0.1442,0.32089,0.3538,0.30469,12.26205,1.59964,0.20484,1.04279,1.23055,1.62065,1.37141,2.27323,3.00027,2.11886,0.60594,0.63612,0.45663,0.63597,0.05355,0.80447,3.73025,5.7747,2.55749,6.70181,5.61004,0.96866,0.06669,0.21689,0.8134,1.31373,0.23747,0.07832,0.00106,0.03447,0.00065,0.02162,0.36596,1.42188,0.34449,1.29019,1.36265,0.2436,0.60624,0.27098,0.51733,0.92403,0.04083,0.10908,0.68314,0.25254,0.04117,0.14082,0.41013,0.95558,0.91924,0.44805,0.28889,3.1917,1.23802,0.31551,0.0938,0.10517,0.36049,0.07242,48.59002,0.96101,0.63229,0.09873,4.56535,2.26255,1.52263,0.05765,0.08733,2.26349,2.32459,0.26647,0.45084,0.0931,0.07223,0.08117,0.35527,0.13105,1.66529,0.08297,0.40388,0.29768,0.31608,0.01886,0.29015,0.41185,0.4693,0.50038,1.25186,1.04773,1.9716,0.63118,0.74226,0.31735,0.15695,0.24693,0.31717,0.96059,4.41672,6.42713,0.87263,0.57365,2.61024,2.67273,4.09252,4.66425,4.43093,4.05185,4.89165,0.39768,0.2811,1.25415,0.56707,0.74679,0.19911,0.32809,0.39547,0.32307,0.17721,0.75502,0.38919,1.08746,1.93674,0.14545,0.2449,0.0306,0.10731,0.0878,0.09033,0.06561,1.4804,4.27393,0.55743,1.88238,3.09285,0.14259,0.29848,0.43952,0.30862,0.51276,0.61677,2.27434,0.0957,0.06616,0.67714,0.0734,0.12541,0.1764,0.14878,0.36599,1.2019
"k__Bacteria|p__Firmicutes|c__CFGB10719|o__OFGB10719|f__FGB10719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30261,0.00053,0,0.00079,0.10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08128,0.02798,0.04664,0,0,0,0,0,0,0,0,0,0,0,0,0.50377,2.83414,0.13802,0.34169,0.48832,0.33522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097,0,0.00663,0.02139,0.0121,0.02247,0,0,0,0,0,0,0,0,0,0,0,0.01774,0.01302,0.03426,0.0272,0.07827,0.09897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB11371|o__OFGB11371|f__FGB11371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357,0.00558,0,1.07637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517,0,0.00541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB11478|o__OFGB11478|f__FGB11478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0.00093,0.00108,0,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB11737|o__OFGB11737|f__FGB11737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0.01099,0.01284,0.01298,0.01485,0.01024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03975,0.01329,0.01813,0.02679,0.02158,0.02826,0,0,0,0,0,0.01386,0,0,0,0,0,0,0,0.07231,0.06253,0.04104,0.10373,0.04478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03526,0.03383,0.04839,0.02147,0.02141,0.03476,0,0,0,0,0,0,0,0,0.00992,0.02912,0,0.02063,0.01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0.02179,0.00865,0,0,0,0,0.03055,0,0.02629,0.00409,0.03199,0,0.00641,0,0,0,0,0,0,0,0.01208,0.0016,0.00989,0.0012,0.01117,0.04584,0.05243,0.04127,0.02071,0.00944,0.02753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02275,0.02487,0.02262,0.01727,0.031,0.02763
"k__Bacteria|p__Firmicutes|c__CFGB1218|o__OFGB1218|f__FGB1218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02876,0.01803,0.03913,0.02387,0.02517,0.04181,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB12277|o__OFGB12277|f__FGB12277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03862,0.10908,0.03864,0.05385,0.04599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207,0.0028,0.00379,0.00597,0.00231,0.00334,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02794,0.00818,0.04769,0.02633,0.05975,0,0.00422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB12541|o__OFGB12541|f__FGB12541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0.00091,0.00163,0.0015,0,0.00162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB12952|o__OFGB12952|f__FGB12952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01224,0.0336,0.00585,0.01846,0.00461,0.00193,0,0.13139,0,0.13992,0.18159,0.08496,0.0807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183,0.03414,0.00923,0.0256,0.01194,0,0,0,0,0,0,0,0,0,0,0,0,2.83121,1.89093,1.37088,0.0796,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1298|o__OFGB1298|f__FGB1298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09871,0.06611,0.09692,0.08924,0.08003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,0.01026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02152,0.0457,0.03439,0.00337,0.05898,0.05475,0.05035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03276,0.03486,0.04685,0.02354,0.01229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340",6.66167,3.63393,3.71551,4.99042,4.32337,0,0,0,0,0,0,0,0,0,0,2.34524,7.59367,0,0,0,0,0,0,0,0,0,0,0,0,0.45827,0.01091,0,0.04067,0.10721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03131,0,0.02148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56238,0,0,0,0,1.77804,2.06605,2.78255,3.18023,0.43648,0.80453,1.03405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17631,3.95691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19312
