"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25658,1.80366,1.69007,1.40904,2.28438,1.3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania",0.03819,0.0471,0.08173,0.00636,0.007,0.01875,0.04461,0,0,0,0,0.01932,0.05311,0.05232,0.05114,0.01799,0.00475,0.04951,0.05516,0.0615,0.05963,0.04811,0.03153,0.01129,0.03097,0.0526,0.04773,0.0293,0.00237,0.00793,0.01149,0,0.04165,0.00592,0,0,0.01515,0.01533,0.00803,0.00964,0.00348,0,0,0,0,0,0,0,0.10064,0,0,0,0,0,0,0,0,0,0,0.00238,0,0.01895,0.02418,0.00627,0,0.02143,0.02257,0,0,0,0.01459,0.13562,0.16891,0.20769,0.1343,0.06491,0.00233,0.01713,0.00207,0.00345,0.00569,0.00589,0.11131,0.07507,0.01343,0.0128,0.02309,0.01534,0.02842,0.02847,0,0,0,0,0,0.07186,0.06603,0.03394,0.04488,0,0.00262,0.00875,0.00435,0.01516,0.01054,0.00801,0.00485,0,0.00183,0,0.00935,0,0,0,0,0,0,0.17044,0.02211,0,0,0,0,0,0,0,0,0.19746,0.18797,0.11082,0.0983,0.13445,0.12251,0.03562,0,0,0,0,0,0,0,0.00661,0.02418,0.0147,0.01552,0.00393,0,0.00527,0.00378,0.03342,0,0.00771,0.02802,0.00443,0.08792,0.04262,0.10552,0.04068,0,0.10696,0.02929,0.01104,0.02017,0.00308,0.0096,0.00933,0.02729,0.01246,0.00858,0.01171,0.01539,0,0,0,0,0,0.00309,0.00358,0.00367,0,0.00365,0.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03137,0.00551,0.01368,0.03677,0.09043,0.07059,0.0028,0,0.0288,0.01346,0.02763,0.0099,0.04018,0.00509,0,0,0,0,0,0.01193,0.047,0.03486,0.02472,0.00679,0.01793
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longibaculum",0.19624,0.36071,0.35446,0.3943,0.13382,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25171,1.31809,2.98938,0.8505,0.54967,0.34379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0.00517,0.00214,0.00129,0.00957,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0.00963,0.03198,0.01579,0,0.00386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01203,0.00897,0,0.0125,0.0317,0.02657,0.01691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena",2.02375,2.5397,2.36703,2.64653,0.71818,0.34032,3.53104,0,0,0,0,0,0,0,0,0,0,0.15505,0.21975,0.42779,0.71875,0.40743,0.25428,1.36143,0.29017,0.60421,0.64535,0.38797,0.02259,0.05443,0.0155,0,0.0105,0.207,0,0,0,0,0,0,0,0,1.73328,2.70904,2.54942,4.86621,1.95279,1.40539,3.05196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01424,0.70461,0,0,0,0,0,0,0.09141,0.13055,1e-04,0.00691,0.00686,0.00011,0.00071,0,0,0,0,0,0,0.03162,0.04907,0.00418,0.04841,0,0,0,0,0,0,0,0.21004,0.1302,0.36565,0.35623,0.18952,0,0,0,0,0,0.75658,2.11624,1.15477,1.94808,0,0,0,0,0,0,0,0,0,0,0,0.1066,0.03391,0.03553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05763,0,0.00032,0.00488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563,0.01044,0.04223,0.02594,0.052,0.02828,0,0,0,0,0,0,0,0,2.02521,1.81148,0.58148,0.48244,0,0.154,0.06982,0.138,0.21491,0.385,0.34434,0.33677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilicoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0.00375,0.00448,0.00537,0,0.00528,0.23186,0.43834,0.57393,0.22006,0.1453,0,0.04583,0.29292,0,1.75999,0.56019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.00128,0,0,0,0.00297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02813,0.00306,0,0.00172,0,0,0,0,0,0,0,0.04346,0.00894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0.00627,0,0.34567,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota",0,0,0,0,0,0,0,0.14228,0.21494,0.00228,0.01559,0.00016,0.01365,0.00516,0.00704,0,0.00384,0.00545,0.00073,0,0,0.00217,0.0039,0.03471,0.10981,0.07546,0.2259,0.15401,0.07579,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03509,0,0,0,0,0,0,0,0,0,0,0,0,0.04532,0.09289,0.03235,0.20506,0.0085,0.00238,0.50903,0.48285,0.87083,0.0405,0.37902,0.40483,0.24881,0.10068,0.52476,0,0,0,0,0,0,0,0,0.0104,0.01597,0.01759,0.01018,0.00339,0.00722,0.04468,0.07975,0.00084,0.04482,0.01038,0.0259,0.02733,0.02644,0.0191,0,0,0,0,0,0,0,0,0,0,0,0,4.65996,0.54394,1.05191,0.11806,0.11994,0.00722,0,0,0,0.11869,0.26383,1.96054,0.2887,0.23415,0.035,0,0.51461,0.58561,0.59546,0.5509,0.1794,0.20185,0.18973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01367,0,0,0,0,0,0,0,0.00038,0.0062,0,0.01679,0,0.2129,0.44572,0.41783,0.07988,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,0,0,0,0,0,0.01088,0.10072,0,0,0,0,2e-04,0,0,0,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,0,0,0,0,0.00346,0,0,0,0,0,0,0,0.00022,0,0.00838,0,0.00022,0.00692,0.00913,0,0.00085,0.00057,0.00113,0,0,0,0,0,0,0,0,0,0,0.00905,0.08627,0.0028,0.00129,0,0,8e-04,0,0.00047,0.00287,0.00146,0,0,0,0.00052,0.00512,0.0095,0.00254,0.00191,0.00332,0.00166,0.00528,0.00097,0,0,0,0.00236,0.00297,0.00405,0.00268,0.01517,0.00798,0.00284,0,0.00031,0,0.00064,0.00046,4e-05,8e-05,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0,0,0.00375,0,0.0051,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Traorella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581,0.01075,0,0.00714,0.00243,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter",0,0,0,0.22384,0,0,0.0034,0,0,0.02052,0,0,0,0,0.00776,0.02953,0.04594,0,0,0,0,0.00056,0.00107,0.23688,0.00226,0.00228,0,0.01553,0.1606,0.0056,0.01621,0,0,0.17529,0.01797,0.04457,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0.00143,0,0,0,0,0,0.15606,0.15321,0.0282,0.89075,0.02065,0.06516,0,0,0,0,0,0,0,0,0.00336,0,0.00235,0.00434,0.00026,0.06299,0.00452,0,0,0,0,0,0,0.00081,0.00762,0.00647,0.01416,0.0164,0.00511,0.00715,0.00015,0.15385,0.2423,0.03427,0.15028,0.05022,0,0,0,0,0.03924,0.03922,0.03768,0,0,0,0.00267,0.01507,0.02258,0.00636,0.38229,0,0.164,0.05215,0.06689,0.04473,0.16278,0.02157,0,0,0,0,0,0,0,0,0,0,0.00376,0,0.03607,0.02595,0.00312,0.06629,0,0.64266,0,0,0,0,0,0,0,0,0,0.01271,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0.00015,0.03322,0,0,0.09268,0,0.06504,0.02074,0.05769,0.0135,0.03767,0.00468,0.01235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18235,0.04919,0.25622,0.00416,0,0.00511,0.00708,0,0,0,0,0,0,0.00469,0,0,0.40322,0.0355,0,0,0,0.00307,0.00335,0,0.00039,0.29989,0,0,0,0.00406,0,0,0,0.00098,0.00129
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified",0,0,0,0,0,0,0.02315,0,0,0,0,0.44003,0.25224,0.24376,0.16544,0.19523,0.29946,0.00431,0.00643,0.00759,0.00928,0.00671,0.14905,0,0.02327,0.01549,0.02038,0.00396,0.12409,0.05146,0.444,0,0.34999,0.26083,0,0,0.56001,0.35123,0.36166,0.42796,0.20158,0,0,0,0,0,0,0,0.02803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47406,0.26087,0.06791,0.02586,0.02921,0.00519,0.00307,0.00159,0.01226,0.12223,0.06295,0.04176,0.21569,1.00634,0.80681,0.2741,0.54558,0.1642,1.06043,0.01694,0.02168,0,0.01215,0.0365,0.25744,0.11652,0.06837,0.07116,0.07823,0.06514,0.0424,0.06089,0.02543,0.08173,0.07799,0.14511,0.40449,0.16123,0.01368,0.33637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33421,1.09826,0.44077,0.05248,0.15436,0.72057,0.06626,0,0,0,0,0,0,0,0.06423,0.03467,0.03991,0.12226,0.22949,0.02849,0.03004,0.01859,0.01366,0,0.00249,0.11943,0.14165,0.0561,0.61705,1.08058,0.03586,0.01592,0.00072,0.02057,0.00982,0.08132,0.02228,0.01916,0.02166,0.01436,0.03761,0.00586,0,0,0,0,0,0,0,0.93802,0.67463,0.46868,0.1712,0.3755,0.33977,0.14136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06867,0.23248,0,0,0.10487,0.16161,0.20128,0.11094,0.07551,0.02402,0.0842,0.16851,0,0,0,0,0,0.12763,0.13453,0.10154,0.34496,0.25833,0.10074
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29314,0.37431,1.35334,1.41982,1.67713,1.70537,2.01294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47374,1.12666,0.80577,0.8769,0.03388,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02679,0,0.00015,0.04591,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08782,0.10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12827,0,0,0,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44213,0.93298,0.60652,0.45103,0.04933,0.36516,0.80864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92035,1.90584,2.44153,3.32431,1.69156,2.12819,2.47711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28336,0.13752,0,0.00399,0.03191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0,0.65976,0.77482,0.95874,1.11626,0.60201,0.01298,0,0,0,0,0,0,0.5892,0.12751,0.24943,0.25419,0.0198,0.19923,0,0,0,0,0,0,0,0.01887,0.02671,0.00853,0.03916,0.05596,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93313,1.02185,1.12914,0,1.01374,1.12667,0,0,0,0.89022,0,0,0,0,0,0.63792,0.57477,0.46325,0.59392,0.62519,0.47875,0.71949,0.78922,0.006,0.00841,0.01188,0.00796,0.01161,0.01046,0.49331,0.46546,0.53158,0.53779,0.48327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95862,0.41299,0.47863,0.53111,1.99652,1.25608,1.24119,1.05999,2.44835,1.02184,1.5926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0.00248,0.01044,0.00661,0.84997,0,0,0,0,0,0.20757,0.3069,0.39189,0.40981,0.46483,0.70717,0.51631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0.56004,0.44192,0.69672,0.41895,0.31906,0.39473
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54431,0.15602,0.00775,0,0.01327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
